>MN767666,GENOTYPE=B18
>MN767201,GENOTYPE=G16
>FR751465,GENOTYPE=G16
>MW455393,GENOTYPE=H13
>OL548864,GENOTYPE=H15
>MN767406,GENOTYPE=H15
>MN767317,GENOTYPE=H7
>MN767566,GENOTYPE=H7
>MN767676,GENOTYPE=H7
>MN767502,GENOTYPE=H1
>MN767351,GENOTYPE=H1
>MN767398,GENOTYPE=H1
>AB064607,GENOTYPE=H1
>MN767352,GENOTYPE=H1
>MN767570,GENOTYPE=H1
>MN767521,GENOTYPE=H17
>MN767258,GENOTYPE=H14
>MN767257,GENOTYPE=H14
>MN767267,GENOTYPE=H14
>MN767315,GENOTYPE=H14
>MN767246,GENOTYPE=H22
>MN767479,GENOTYPE=H22
>AB064604,GENOTYPE=H22
>MN767335,GENOTYPE=H22
>DQ187006,GENOTYPE=H23
>AJ620231,GENOTYPE=H18
>MN767279,GENOTYPE=H20
>MN767319,GENOTYPE=H5
>MN767696,GENOTYPE=H5
>MN767322,GENOTYPE=H19
>MN767346,GENOTYPE=H19
>MN767524,GENOTYPE=H4
>AF345524,GENOTYPE=H4
>MN767248,GENOTYPE=H21
>MN765953,GENOTYPE=H10
>MH649203,GENOTYPE=H9
>MN767541,GENOTYPE=H8
>MN767550,GENOTYPE=H8
>AB064606,GENOTYPE=H8
>MN767558,GENOTYPE=H8
>KP343843,GENOTYPE=H12
>MN767312,GENOTYPE=H6
>MN767329,GENOTYPE=H6
>MN767349,GENOTYPE=H3
>MN767393,GENOTYPE=H3
>MN767370,GENOTYPE=H3
>MN767310,GENOTYPE=H11
>MN768066,GENOTYPE=H11
>MN767320,GENOTYPE=H11
>MN767325,GENOTYPE=H11
>MN767316,GENOTYPE=H2
>MN767462,GENOTYPE=H2
>MN767347,GENOTYPE=H2
>MN767513,GENOTYPE=H16
>KT163896,GENOTYPE=J3
>MN767221,GENOTYPE=J1
>MN767220,GENOTYPE=J1
>FJ392114,GENOTYPE=J1
>MN767200,GENOTYPE=J2
>FJ392105,GENOTYPE=J2
>KJ082064,GENOTYPE=K1
>MN766975,GENOTYPE=K1
>FJ392117,GENOTYPE=K1
>MN765220,GENOTYPE=K1
>MN766968,GENOTYPE=K3
>MN766849,GENOTYPE=K3
>MN766965,GENOTYPE=K3
>MN766980,GENOTYPE=K3
>MN766970,GENOTYPE=K2
>MN766105,GENOTYPE=A1
>MN767205,GENOTYPE=A1
>MN767202,GENOTYPE=A1
>AF254410,GENOTYPE=A1
>FR751510,GENOTYPE=A12
>MN765333,GENOTYPE=A12
>MN765388,GENOTYPE=A12
>MN765340,GENOTYPE=A12
>MN765364,GENOTYPE=A12
>MN765383,GENOTYPE=A12
>AF298585,GENOTYPE=A12
>MH649258,GENOTYPE=A12
>MW455369,GENOTYPE=A12
>MN765385,GENOTYPE=A7
>MN765378,GENOTYPE=A10
>MN765318,GENOTYPE=A13
>MH649156,GENOTYPE=A8
>MN765443,GENOTYPE=A11
>MN765332,GENOTYPE=A6
>MN765319,GENOTYPE=A5
>MN765405,GENOTYPE=A5
>MN765345,GENOTYPE=A5
>MN765348,GENOTYPE=A5
>MN765317,GENOTYPE=A5
>MN765343,GENOTYPE=A5
>MN765850,GENOTYPE=A5
>MN768089,GENOTYPE=A5
>MN765851,GENOTYPE=A5
>AF345522,GENOTYPE=A22
>MW455376,GENOTYPE=A22
>MW455395,GENOTYPE=A22
>KT163901,GENOTYPE=A21
>OL548872,GENOTYPE=A4
>MN767020,GENOTYPE=A4
>AB030486,GENOTYPE=A4
>AF122918,GENOTYPE=A4
>AF122920,GENOTYPE=A4
>MN765979,GENOTYPE=A18
>MN766005,GENOTYPE=A19
>MN767208,GENOTYPE=A3
>AF122919,GENOTYPE=A2
>AB030488,GENOTYPE=A2
>MN767215,GENOTYPE=A2
>MN765975,GENOTYPE=A17
>MN766094,GENOTYPE=A17
>MN765981,GENOTYPE=A17
>MN765978,GENOTYPE=A20
>FR848326,GENOTYPE=A9
>KT163879,GENOTYPE=A14
>MN765855,GENOTYPE=A14
>KP296854,GENOTYPE=NA
>KP296855,GENOTYPE=NA
>KP296853,GENOTYPE=NA
>KP296856,GENOTYPE=NA
>KP296857,GENOTYPE=NA
>AB041959,GENOTYPE=NA
>AB041958,GENOTYPE=NA
>AB049608,GENOTYPE=A15
>AB037926,GENOTYPE=C7
>AB041957,GENOTYPE=A16
